sha1|casename
2e04bd7aa3c1841c5d80ec9a741c96f855b30469|United States v. Certain Real Properties at 14307 Four Lakes Drive, Sterline Heights, Michigan
c51f0d52222b0d0b6c2393be0f84c881deb0f7e0|United States v. Real Property
8d2c7fc3dc9853ca47d642ca38b2ba4210f95171|United States v. Real Property Located at 2248 Ashland Ave., Toledo, Ohio
d29f8d272019e2c75a8b6622f7dfcf3fcd9486cd|Blair v. Graham Correctional Center
e0ccaef5b19ef07a0de6f8df9dd1ee9e31360a85|Oil Spill by the "Amoco Cadiz" Off the Coast of France on March 16, 1978. Republic of France v. Amoco Transport Company. Petroleum Insurance Limited
dca5b3e5f6be16d2f91b546035e7df5c89994c07|United States v. Spaeth
29a29098ec7313a8e3e886e92e077cae63415b6e|Grant v. Local 1857 American Federation of Government Employees
73b6ebce3142a3e8530138d2052f8e1d59291a96|Bank of New England Essex, F/K/A, Essexbank v. MV Bobcat, O.N. 517619
aded850bdcf48a2957f6b278567e35ee576860b2|Copeland v. Chesapeake & Potomac Telephone Company
b01e11b3e4a8d357ac411833daced73e7f8347d2|Island Creek Coal Company v. Local Union 1466, United Mine Workers of America
31757738445a31d55bba9ab142b72e8cba0f5e02|Armstrong v. UAW Local 1989
93658188be12f8447a8aaecd416d93bff2671450|Gibson v. City of Detroit
9ea06ac6bde6dbfd24d1d3bae70e3b0e17ac4bd6|United States v. A 1985 Cadillac Fleetwood
7ee07902266207730cb4a26993fe1974db0405b6|United States v. Certain Real Property Located at 21090 Boulder Circle, Northville, Oakland County, Michigan
158cf9ee0af9b4005ed81cb4c4e5b7f85e87e48e|United States v. Marsh
f5a73e68dc089fc385aa0c672fb2745634ed169f|Peat Old and Gas Associates
cb232a1129bf29159ad1ad9a5afd25615789c9e0|Commercial Electric, Inc. v. IBEW Local 1168
062a91a3780d0f3ab8a59e758308cff51f248b87|Buchanan v. Contel Telephone Company
8fc93f91dd8631b77ba250c8d9394f2b43717e3a|Atlantic Belgrave Film Associates v. Commissioner of Internal Revenue Service
86ee09b9ac0e9a0ddbc16ef8ca94c12f355231bd|Riekstniece v. Shalala, Secretary of Health an Human Services
ae914b15c9f7a9f28d80d06b3fb0dd94450857c8|Coard v. Mayor and City Council of Baltimore
c4abb45183c616ee5a9f36853ab7cbe7dd52feb8|Merritt v. The Pre-Trial Release and Detention Services
22c43e6555f6d150fbbeb7ec85231c7ce4016a89|852152 Ontario, Inc. v. Dollar Systems, Inc.
36df2f4704ea4caa4f6e2a568ed51c134d7ca792|Unite States v. Croom v. Real Property at 17925 Holmes Ave., Cerritos, California
093405856651a7a48e8a51d70ee57f07cbc70f7a|Lameire v. F/V Resolute
5e4fc8d956c8df79a8ec3bbbe41a15020385e559|Hernandez v. International Longshoremen Association, Local 1575
efe863c975ae705dae33e31202c3fcf93272aedc|National Labor Relations Board v. District 1199, The Health Care and Social Services Union, Service Employees International Union, AFL-CIO-CLC
7eaebfde66c787b210a93cd470cecd5b2384465f|United States v. Premises Known as 7245 James Avenue South
ea95ec2059b908848bb8afc144b79ce7c24c949e|San Diego AFL-CIO Bus Drivers Local Division 1309 of the Amalgamated Transit Union v. San Diego Transit Corp.
906c586e5b59b7cbe60ee794b51298f5a774eb04|Owners and Occupants of the Properties Located at 1476 Davenport v. United States
385097d7effe651800e15ad16dff8e6e4bcfced7|United States v. Creative Games Technology, Inc.
1145c9ffc3f07bff496d887ef0f115416185442f|Hill v. Little
58cb0190528a13984f6a6ff435b4b544f418afd7|Foster v. Forest Hill Dairy
8c8913f6c62d01840f3e6e9f09ae7ba15a6b9b11|United States v. One 1986 Ford Pickup
b7447ca797bdd872c4fc1fb6e2df8874734cbcd7|Wade v. Industrial Funding Corp.
88dd324996b584497c249c79f7c0455333ef72c2|Williams v. Meese
be886f2f632b1a813383480948fbfb5e485ce1b7|United States v. Real Property at 11205 McPherson Lane, Ojai, CA
a39f2d3aacb4f4dd7115211b876b7eaa5ea0becc|Anderson v. Wards Cove Packing Co., Inc.
6d69061dd4ed41a4ab2dd72315c0b274edfc4a5c|Hayes v. Arthur Young & Company
59532b7869503840f896eb425cf08a9a7254a541|Rogers v. Segal; Hudson; Holland
ac7b6b4f51d3f01f1815d23ae7aed9ecbaccd0d6|Larson v. Stow
22558c30fcdc7d2023d520f5b512a8c117722671|Florida State Conference of Branches of the NAACP v. Federal Communications Commission
6f84828297985a977efac08e6a034eb078d06d77|Commors v. Muncy
fd507655a0a352f205b2ba2f1a9e5925c47c40f9|United States v. 39058 and 39060 E. Knieriem Road, Corbett, Multnomah County, Oregon
39d9db46ffd00ae511385bf0d9924e31b7569b39|United States v. Vehicle 1988 Toyota Pickup Truck
906a89054fdd266bb92b61c9801def015f6348ab|Baugh v. City of Milwaukee
8bcf244b03d8d0b61cb2937cf6ab3150ae4364bc|Van Brunt v. Chrysler Motors Corp.
2b9af2e681160e4df363c383fab2d9061a7b2206|United States v. Real Property Titled in the Name of Lentz
4450040dab2b20de38ead95f47adc7d027d0b7b2|Hamilton-Stevens Group, Inc. v. International Union, United Automobile, Aerospace and Agricultural Implement Workers of America U.A.W.
46bac1861be4e862db6129a52cabf478f6381b4c|Search Warrant Executed March 31, 1992 at 1808 Abalone Ave., Torrance, California. Hall v. United States
85d2e15db6e462828d19f6cb733e48502a98d718|United States v. 28235 Clearlake Road
dc5fbe1b9aed877b59e8dce6c9ad5d01608ea47d|United States v. Real Property 2918 Burns, Detroit, Michigan
a5fb57dab873209706bede5ae2f4014f8ee06001|United States v. Real Property Located at 25445 Via Dona Christa, Valencia, California
10ddb0c9444e3a4018a4a5130f32b7fb5c321ddb|Bradley v. Gaines
0751a412b3afa9fb3782e19577d0ee29adf41f9b|United States v. One Parcel of Property Located at 5074 Lebanon Road, Old Hickory, Wilson County, Tennessee
b728a239471f37e24a32bd1fe68a479572b0bef7|Garfias v. City of Mesa
a1478cf3cac8e919e6e9547b770b89ac6a249aa7|Farley v. Pittston Coal Company
f9d868a01093c56727277fd4b869ae6a8fe36b07|Mutual Mining, Inc. v. District 17, United Mine Workers of America
b42bd28a6714fb595f041c9d290ce4ab360d6a98|United States v. Certain Real Property Located at 14140 Charlevoix, Detroit, Wayne County, Michigan
c3b0bf2732e559abc20c4347ef527583733b4864|Amaya v. Food 4 Less
0ab7d8743a5b066b094bfe44fcab7d6225531666|United States v. Real Property 25107 Darin, Taylor, Wayne Country, Michigan
92f4b0e61c9c177c87c9a72db25cdcd4fffd703c|Aleem v. International Union of American Federation of State, County and Municipal Employees
02bc13db91ef6f78159e780e66456e311111d135|International Brotherhood of Electrical Workers, AFL-CIO, Local Union 1141 v. National Labor Relations Board
f3eeda74090db4b41ae6994219d5f1f207139bf9|Roberts v. Potomac Electric Power Company
78d533ed86977336855ff5c5f16f9e55b65a8b39|Amaco Enterprises, Inc. v. Smolen
5bd5c3c709bd03ff5b4708499843e9261b00fc48|National Labor Relations Board v. International Brotherhood of Painters and Allied Trades, Painters Local Union No. 1115, AFL-CIO
4ff8d8d8966a130c7b593f9e298b5e33e98b0b56|United States v. Morgan
0d60514afe7ae44b04c69eaa3ab2e3fa74977d14|Williams v. Chattanooga Area Regional Transportation Authority
53016273ff1676640003fb4260dd039b17591718|Cyprian v. United Steelworkers of America, AFL-CIO
3b3ad68e66fafae7a9a1da08ae8a53e0c9c789de|Tonquin Fisheries, Inc. v. Switzerland General Insurance Co.
47cc709cc53a6fbbd36c02f1dad457fcd2dfa3e6|Kahn v. Emerson Electric Co.
57c8911f3e3c3ef277b523c948ddac552832ed3c|Murray v. Detroit Riverview Hospital
63752ca09131439bf957d9a7a58de5652d9b9a81|McReynolds v. May
d427f422edb24c0dbe0f85667cca21a7f6f863ea|Tonquin Fisheries, Inc. v. Ward
b95adedb94a2fda0d6408b201920975a4b53c08b|Island Creek Coal Co. v. Local Union 1254, United Mine Workers of America
157b51879b45f1c38e23c98d0194c9b2d63d1d47|september 13, 1995
